,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,29,14,5,112,29,83,91
2,Real Madrid,38,28,14,4,110,34,76,90
3,Ath Madrid,38,28,16,6,63,18,45,88
4,Villarreal,38,18,30,10,44,35,9,64
5,Ath Bilbao,38,18,32,12,58,45,13,62
6,Celta,38,17,33,12,51,59,-8,60
7,Sevilla,38,14,38,14,51,50,1,52
8,Sociedad,38,13,41,16,45,48,-3,48
9,Malaga,38,12,40,14,38,35,3,48
10,Betis,38,11,42,15,34,52,-18,45
11,Las Palmas,38,12,44,18,45,53,-8,44
12,Valencia,38,11,43,16,46,48,-2,44
13,Eibar,38,11,44,17,49,61,-12,43
14,Espanol,38,12,45,19,40,74,-34,43
15,La Coruna,38,8,42,12,45,61,-16,42
16,Granada,38,10,47,19,46,69,-23,39
17,Sp Gijon,38,10,47,19,40,62,-22,39
18,Vallecano,38,9,47,18,52,73,-21,38
19,Getafe,38,9,49,20,37,67,-30,36
20,Levante,38,8,52,22,37,70,-33,32
